書く | かく | 카쿠 (쓰다)[글 서]
妻 | つま | 츠마 (아내)[아내 처]
上手 | じょうず | 죠우즈 (잘함/능숙함)[위 상/손 수]
酷い | ひどい | 히도이 (심하다/너무하다)[심할 혹]
薄い | うすい | 우스이 (얇다/옅다)[엷을 박]
愛称 | あいしょう | 아이쇼우 (애칭)[사랑 애/일컬을 칭]
注意 | ちゅうい | 츄우이 (주의)[부을 주/뜻 의]
煮える | にえる | 니에루 (익다/끓어 익다)[삶을 자]
知らない | しらない | 시라나이 (모르다)[알 지]
冬 | ふゆ | 후유 (겨울)[겨울 동]
最初 | さいしょ | 사이쇼 (처음/최초)[가장 최/처음 초]
基本的 | きほんてき | 키혼테키 (기본적)[터 기/근본 본/과녁 적]
手伝う | てつだう | 테츠다우 (돕다)[손 수/전할 전]
初代 | しょだい | 쇼다이 (초대/첫 세대)[처음 초/대신할 대]
明日 | あした / あす | 아시타/아스 (내일)[밝을 명/날 일]
週末 | しゅうまつ | 슈우마츠 (주말)[돌 주/끝 말]
広い | ひろい | 히로이 (넓다)[넓을 광]
会長 | かいちょう | 카이쵸우 (회장)[모일 회/길 장]
生徒会 | せいとかい | 세이토카이 (학생회)[날 생/무리 도/모일 회]
配る | くばる | 쿠바루 (나누어 주다/배포하다)[나눌 배]
関係 | かんけい | 칸케이 (관계)[관계할 관/맬 계]
誰 | だれ | 다레 (누구)[누구 수]
話 | はなし | 하나시 (이야기)[말씀 화]
色味 | いろみ | 이로미 (색감/색조)[빛 색/맛 미]
友達 | ともだち | 토모다치 (친구)[벗 우/통달할 달]
超える | こえる | 코에루 (넘다/초과하다)[뛰어넘을 초]
駅 | えき | 에키 (역)[역 역]
映画 | えいが | 에이가 (영화)[비칠 영/그림 화]
宜しく | よろしく | 요로시쿠 (잘 부탁해)[마땅할 의]
本当 | ほんとう | 혼토우 (정말/사실)[근본 본/마땅 당]
思う | おもう | 오모우 (생각하다/느끼다)[생각 사]
考える | かんがえる | 칸가에루 (생각하다/고려하다)[생각할 고]
来る | くる | 쿠루 (오다)[올 래]
部屋 | へや | 헤야 (방)[떼 부/집 옥]
続く | つづく | 츠즈쿠 (계속되다/이어지다)[이을 속]
昼間 | ひるま | 히루마 (낮 동안/한낮)[낮 주/사이 간]
他 | ほか | 호카 (그 밖/다른 것)[다를 타]
手紙 | てがみ | 테가미 (편지)[손 수/종이 지]
息子 | むすこ | 무스코 (아들)[쉴 식/아들 자]
今週 | こんしゅう | 콘슈우 (이번 주)[이제 금/돌 주]
しばらく | しばらく | 시바라쿠 (잠시/한동안)
放送 | ほうそう | 호우소우 (방송)[놓을 방/보낼 송]
植物 | しょくぶつ | 쇼쿠부츠 (식물)[심을 식/물건 물]
簡単 | かんたん | 칸탄 (간단함/쉬움)[대쪽 간/홑 단]
急に | きゅうに | 큐우니 (갑자기)[급할 급]
頑張る | がんばる | 간바루 (힘내다/노력하다)[완고할 완/베풀 장]
知る | しる | 시루 (알다/알게 되다)[알 지]
分かる | わかる | 와카루 (알다/이해하다)[나눌 분]
暑い | あつい | 아츠이 (덥다)[더울 서]
熱い | あつい | 아츠이 (뜨겁다)[더울 열]
飛行機 | ひこうき | 히코우키 (비행기)[날 비/다닐 행/틀 기]
々 | おどりじ | 오도리지 (앞 한자를 반복하는 기호)
孫 | まご | 마고 (손자/손녀)[손자 손]
通う | かよう | 카요우 (다니다)[통할 통]
失礼 | しつれい | 시츠레이 (실례)[잃을 실/예도 례]
辞める | やめる | 야메루 (그만두다)[말씀 사]
漫画 | まんが | 망가 (만화)[질펀할 만/그림 화]
車 | くるま | 쿠루마 (차/자동차)[수레 거]
子供 | こども | 코도모 (아이/어린이)[아들 자/이바지할 공]
台風 | たいふう | 타이후우 (태풍)[대 대/바람 풍]
日陰 | ひかげ | 히카게 (그늘)[날 일/그늘 음]
甘い | あまい | 아마이 (달다)[달 감]
女の子 | おんなのこ | 온나노코 (여자아이/소녀)[여자 녀/아들 자]
特に | とくに | 토쿠니 (특히)[특별할 특]
頭 | あたま | 아타마 (머리)[머리 두]
公園 | こうえん | 코우엔 (공원)[공평할 공/동산 원]
写真 | しゃしん | 샤신 (사진)[베낄 사/참 진]
残る | のこる | 노코루 (남다)[남을 잔]
新しい | あたらしい | 아타라시이 (새롭다)[새 신]
過ぎる | すぎる | 스기루 (지나가다/너무 ~하다)[지날 과]
僕 | ぼく | 보쿠 (나/주로 남성)[종 복]
昨日 | きのう | 키노우 (어제)[어제 작/날 일]
毎朝 | まいあさ | 마이아사 (매일 아침)[매양 매/아침 조]
靴 | くつ | 쿠츠 (신발)[신 화]
詳しい | くわしい | 쿠와시이 (자세하다/잘 알다)[자세할 상]
近い | ちかい | 치카이 (가깝다)[가까울 근]
彼女 | かのじょ | 카노죠 (그녀/여자친구)[저 피/여자 녀]
音 | おと | 오토 (소리)[소리 음]
告白 | こくはく | 코쿠하쿠 (고백)[고할 고/흰 백]
日差し | ひざし | 히자시 (햇살/햇빛)[날 일/다를 차]
事故 | じこ | 지코 (사고)[일 사/연고 고]
姉 | あね | 아네 (누나/언니)[손윗누이 자]
一緒に | いっしょに | 잇쇼니 (함께)[한 일/실마리 서]
予約 | よやく | 요야쿠 (예약)[미리 예/맺을 약]
待つ | まつ | 마츠 (기다리다)[기다릴 대]
何れ | いずれ | 이즈레 (어느 것/어느 쪽/언젠가)[어찌 하]
明日 | あした / あす | 아시타/아스 (내일)[밝을 명/날 일]
行きたい | いきたい | 이키타이 (가고 싶다)[다닐 행]
近所 | きんじょ | 킨죠 (근처/이웃)[가까울 근/바 소]
忙しい | いそがしい | 이소가시이 (바쁘다)[바쁠 망]
疲れた | つかれた | 츠카레타 (피곤하다/지쳤다)[피곤할 피]
私 | わたし | 와타시 (나/저)[사사로울 사]
読む | よむ | 요무 (읽다)[읽을 독]
受ける | うける | 우케루 (받다/응시하다)[받을 수]
夫 | おっと | 옷토 (남편)[지아비 부]
超える | こえる | 코에루 (넘다/초과하다)[뛰어넘을 초]
太陽 | たいよう | 타이요우 (태양)[클 태/볕 양]
秋 | あき | 아키 (가을)[가을 추]
回る | まわる | 마와루 (돌다/돌아가다)[돌 회]
家内 | かない | 카나이 (아내/집사람)[집 가/안 내]
いたす | いたす | 이타스 (하다의 겸양어)
作る | つくる | 츠쿠루 (만들다)[지을 작]
遅い | おそい | 오소이 (늦다/느리다)[늦을 지]
最速 | さいそく | 사이소쿠 (가장 빠름/최속)[가장 최/빠를 속]
激しい | はげしい | 하게시이 (격렬하다/심하다)[격할 격]
利用 | りよう | 리요우 (이용)[이로울 리/쓸 용]
難しい | むずかしい | 무즈카시이 (어렵다)[어려울 난]
降る | ふる | 후루 (비나 눈이 내리다)[내릴 강]
春 | はる | 하루 (봄)[봄 춘]
入院 | にゅういん | 뉴우인 (입원)[들 입/집 원]
乗る | のる | 노루 (타다)[탈 승]
欲しい | ほしい | 호시이 (원하다/갖고 싶다)[하고자 할 욕]
寝る | ねる | 네루 (자다)[잘 침]
晴れる | はれる | 하레루 (날씨가 개다)[갤 청]
会う | あう | 아우 (만나다)[모일 회]
祝 | いわい | 이와이 (축하/경사)[빌 축]
日向 | ひなた | 히나타 (양지/햇볕이 드는 곳)[날 일/향할 향]
売店 | ばいてん | 바이텐 (매점)[팔 매/가게 점]
夜 | よる | 요루 (밤)[밤 야]
眩しい | まぶしい | 마부시이 (눈부시다)[눈부실 현]
青い | あおい | 아오이 (파랗다/푸르다)[푸를 청]
厳しい | きびしい | 키비시이 (엄격하다/혹독하다)[엄할 엄]
走る | はしる | 하시루 (달리다)[달릴 주]
探す | さがす | 사가스 (찾다)[찾을 탐]
是非 | ぜひ | 제히 (꼭/부디)[옳을 시/아닐 비]
調べる | しらべる | 시라베루 (조사하다/알아보다)[고를 조]
開ける | あける | 아케루 (열다)[열 개]
年 | とし | 토시 (해/나이)[해 년]
夏 | なつ | 나츠 (여름)[여름 하]
最高 | さいこう | 사이코우 (최고)[가장 최/높을 고]
無事 | ぶじ | 부지 (무사함/탈 없음)[없을 무/일 사]
好き | すき | 스키 (좋아함/좋아하다)[좋을 호]
危険 | きけん | 키켄 (위험)[위태할 위/험할 험]
赤い | あかい | 아카이 (빨갛다)[붉을 적]
食事 | しょくじ | 쇼쿠지 (식사)[먹을 식/일 사]
比べる | くらべる | 쿠라베루 (비교하다)[견줄 비]
料理 | りょうり | 료우리 (요리)[헤아릴 료/다스릴 리]
主人 | しゅじん | 슈진 (남편/주인)[주인 주/사람 인]
遅れる | おくれる | 오쿠레루 (늦다/지각하다)[늦을 지]
遅い | おそい | 오소이 (늦다/느리다)[늦을 지]
世話 | せわ | 세와 (돌봄/신세)[인간 세/말씀 화]
鉄道 | てつどう | 테츠도우 (철도)[쇠 철/길 도]
送る | おくる | 오쿠루 (보내다)[보낼 송]
行う | おこなう | 오코나우 (행하다/실시하다)[다닐 행]
喜ぶ | よろこぶ | 요로코부 (기뻐하다)[기쁠 희]
日記 | にっき | 닛키 (일기)[날 일/기록할 기]
漢字 | かんじ | 칸지 (한자)[한수 한/글자 자]
お願い | おねがい | 오네가이 (부탁)[원할 원]
心配 | しんぱい | 심파이 (걱정)[마음 심/나눌 배]
伝わる | つたわる | 츠타와루 (전해지다)[전할 전]
歩く | あるく | 아루쿠 (걷다)[걸음 보]
昼 | ひる | 히루 (낮/점심때)[낮 주]
味 | あじ | 아지 (맛)[맛 미]
遊ぶ | あそぶ | 아소부 (놀다)[놀 유]
猫 | ねこ | 네코 (고양이)[고양이 묘]
隠れて | かくれて | 카쿠레테 (숨어서/숨은 상태로)[숨을 은]
勉強 | べんきょう | 벤쿄우 (공부)[힘쓸 면/힘쓸 강]
聞きます | ききます | 키키마스 (듣습니다/묻습니다)[들을 문]
良し | よし | 요시 (좋음/좋아)[어질 량]
お嬢様 | おじょうさま | 오죠우사마 (아가씨/영애)[아가씨 양]
俺 | おれ | 오레 (나/남성의 거친 표현)[나 엄]
声 | こえ | 코에 (목소리)[소리 성]
愛称 | あいしょう | 아이쇼우 (애칭)[사랑 애/일컬을 칭]
朝 | あさ | 아사 (아침)[아침 조]
食代 | しょくだい | 쇼쿠다이 (식비/밥값)[먹을 식/대신할 대]
食べる | たべる | 타베루 (먹다)[먹을 식]
久しぶり | ひさしぶり | 히사시부리 (오랜만)[오랠 구]
美味しい | おいしい | 오이시이 (맛있다)[아름다울 미/맛 미]
全然 | ぜんぜん | 젠젠 (전혀/완전히)[온전 전/그럴 연]
代金 | だいきん | 다이킨 (대금/값)[대신할 대/쇠 금]
混ぜる | まぜる | 마제루 (섞다)[섞을 혼]
娘 | むすめ | 무스메 (딸/아가씨)[계집 녀]
住む | すむ | 스무 (살다/거주하다)[살 주]
休み | やすみ | 야스미 (휴식/휴일)[쉴 휴]
番組 | ばんぐみ | 방구미 (방송 프로그램)[차례 번/짤 조]
先週 | せんしゅう | 센슈우 (지난주)[먼저 선/돌 주]
早い | はやい | 하야이 (이르다/빠르다)[이를 조]
彼は | かれは | 카레와 (그는)[저 피]
散歩 | さんぽ | 산포 (산책)[흩을 산/걸음 보]
天気 | てんき | 텐키 (날씨)[하늘 천/기운 기]
時間 | じかん | 지칸 (시간)[때 시/사이 간]
急変 | きゅうへん | 큐우헨 (급변/갑작스러운 변화)[급할 급/변할 변]
変わる | かわる | 카와루 (변하다/바뀌다)[변할 변]
低い | ひくい | 히쿠이 (낮다)[낮을 저]
可愛い | かわいい | 카와이이 (귀엽다)[옳을 가/사랑 애]
嬉しい | うれしい | 우레시이 (기쁘다)[기쁠 희]
相応しい | ふさわしい | 후사와시이 (어울리다/걸맞다)[서로 상/응할 응]
応える | こたえる | 코타에루 (응하다/부응하다)[응할 응]
堅い | かたい | 카타이 (단단하다/견고하다)[굳을 견]
自分 | じぶん | 지분 (자기/자신)[스스로 자/나눌 분]
怪しい | あやしい | 아야시이 (수상하다/의심스럽다)[괴이할 괴]
終了 | しゅうりょう | 슈우료우 (종료)[마칠 종/마칠 료]
終わる | おわる | 오와루 (끝나다)[마칠 종]
感じ | かんじ | 칸지 (느낌)[느낄 감]
両親 | りょうしん | 료우신 (부모님/양친)[두 량/친할 친]
家族 | かぞく | 카조쿠 (가족)[집 가/겨레 족]
皆 | みんな | 민나 (모두/여러분)[다 개]
挨拶 | あいさつ | 아이사츠 (인사)[밀칠 애/밀칠 찰]
遠慮 | えんりょ | 엔료 (사양/배려/거리낌)[멀 원/생각할 려]
遠い | とおい | 토오이 (멀다)[멀 원]
運ぶ | はこぶ | 하코부 (나르다/운반하다)[옮길 운]
煮込み | にこみ | 니코미 (푹 끓임/조림)[삶을 자/들 입]
黒い | くろい | 쿠로이 (검다)[검을 흑]
妹 | いもうと | 이모우토 (여동생)[누이 매]
弟 | おとうと | 오토우토 (남동생)[아우 제]
祖父 | そふ | 소후 (할아버지/조부)[할아비 조/아비 부]
付ける | つける | 츠케루 (붙이다/달다/켜다)[붙을 부]
空港 | くうこう | 쿠우코우 (공항)[빌 공/항구 항]
引く | ひく | 히쿠 (끌다/당기다)[끌 인]
特別 | とくべつ | 토쿠베츠 (특별)[특별할 특/다를 별]
結構 | けっこう | 켓코우 (충분함/괜찮음/상당함)[맺을 결/얽을 구]
恥ずかしい | はずかしい | 하즈카시이 (부끄럽다)[부끄러울 치]
普通に | ふつうに | 후츠우니 (보통으로/평범하게)[보통 보/통할 통]
韓国 | かんこく | 칸코쿠 (한국)[나라이름 한/나라 국]
元々 | もともと | 모토모토 (원래/본래)[으뜸 원]
届く | とどく | 토도쿠 (도착하다/닿다)[이를 계]
掛ける | かける | 카케루 (걸다/걸치다)[걸 괘]
干す | ほす | 호스 (말리다)[말릴 간]
半分 | はんぶん | 한분 (절반)[반 반/나눌 분]
掃除 | そうじ | 소우지 (청소)[쓸 소/덜 제]
別に | べつに | 베츠니 (딱히/별로)[다를 별]
始める | はじめる | 하지메루 (시작하다)[비로소 시]
相談 | そうだん | 소우단 (상담)[서로 상/의논할 담]
約束 | やくそく | 야쿠소쿠 (약속)[맺을 약/묶을 속]
顔 | かお | 카오 (얼굴)[얼굴 안]
預ける | あずける | 아즈케루 (맡기다)[맡길 예]
階 | かい | 카이 (층)[섬돌 계]
お冷 | おひや | 오히야 (찬물)
乗り換え | のりかえ | 노리카에 (환승)[탈 승/바꿀 환]
京都 | きょうと | 쿄우토 (교토)[서울 경/도읍 도]
東京 | とうきょう | 토우쿄우 (도쿄)[동녘 동/서울 경]
沖縄 | おきなわ | 오키나와 (오키나와)[멀리 충/줄 나]
優しい | やさしい | 야사시이 (상냥하다/친절하다)[너그러울 우]
落ちる | おちる | 오치루 (떨어지다)[떨어질 락]
何の位 | どのくらい | 도노쿠라이 (얼마나/어느 정도)
服装 | ふくそう | 후쿠소우 (복장)[옷 복/꾸밀 장]
古い | ふるい | 후루이 (오래되다)[옛 고]
予報 | よほう | 요호우 (예보)[미리 예/알릴 보]
傘 | かさ | 카사 (우산)[우산 산]
一昨日 | おととい | 오토토이 (그저께)[한 일/어제 작]
並盛 | なみもり | 나미모리 (보통 사이즈)[나란할 병/담을 성]
代わり | かわり | 카와리 (대신)[대신할 대]
親切 | しんせつ | 신세츠 (친절)[친할 친/끊을 절]
丁寧 | ていねい | 테이네이 (정중함)[고무래 정/편안할 녕]
別れる | わかれる | 와카레루 (헤어지다)[다를 별]
謝る | あやまる | 아야마루 (사과하다)[사례할 사]
頼む | たのむ | 타노무 (부탁하다)[의뢰할 뢰]
明後日 | あさって | 아삿테 (모레)[밝을 명/뒤 후/날 일]
お通し | おとおし | 오토오시 (오토시/기본 안주)[통할 통]
萌やし | もやし | 모야시 (숙주나물)[싹틀 맹]
隣 | となり | 토나리 (옆)[이웃 린]
焼肉 | やきにく | 야키니쿠 (고기구이)[구울 소/고기 육]
鶏 | とり | 토리 (닭)[닭 계]
塩 | しお | 시오 (소금)[소금 염]
家庭 | かてい | 카테이 (가정)[집 가/뜰 정]
庭 | にわ | 니와 (정원)[뜰 정]
扉 | とびら | 토비라 (문)[문 비]
戸 | と | 토 (문)[지게 호]
泊まる | とまる | 토마루 (숙박하다)[묵을 박]
面白い | おもしろい | 오모시로이 (재미있다)[낯 면/흰 백]
狭い | せまい | 세마이 (좁다)[좁을 협]
玄関 | げんかん | 겐칸 (현관)[검을 현/빗장 관]
寒い | さむい | 사무이 (춥다)[찰 한]
台所 | だいどころ | 다이도코로 (부엌)[대 대/바 소]
水道 | すいどう | 스이도우 (수도)[물 수/길 도]
洗う | あらう | 아라우 (씻다)[씻을 세]
冷蔵庫 | れいぞうこ | 레이조우코 (냉장고)[찰 냉/감출 장/곳집 고]
座る | すわる | 스와루 (앉다)[앉을 좌]
具合 | ぐあい | 구아이 (상태/형편)[갖출 구/합할 합]
背中 | せなか | 세나카 (등)[등 배/가운데 중]
様子 | ようす | 요우스 (모습/상태)[모양 양/아들 자]
恐ろしい | おそろしい | 오소로시이 (무섭다)[두려울 공]
増える | ふえる | 후에루 (늘어나다)[더할 증]
深い | ふかい | 후카이 (깊다)[깊을 심]
消す | けす | 케스 (끄다/지우다)[사라질 소]
お風呂 | おふろ | 오후로 (목욕/욕조)[바람 풍/목욕할 려]
石けん | せっけん | 셋켄 (비누)[돌 석]
浴びる | あびる | 아비루 (뒤집어쓰다/샤워하다)[목욕할 욕]
脱ぐ | ぬぐ | 누구 (벗다)[벗을 탈]
鏡 | かがみ | 카가미 (거울)[거울 경]
窓 | まど | 마도 (창문)[창 창]
棚 | たな | 타나 (선반)[시렁 붕]
壁 | かべ | 카베 (벽)[벽 벽]
広場 | ひろば | 히로바 (광장)[넓을 광/마당 장]
押し入れ | おしいれ | 오시이레 (붙박이장)[누를 압/들 입]
案内 | あんない | 안나이 (안내)[책상 안/안 내]
電灯 | でんとう | 덴토우 (전등)[번개 전/등불 등]
布団 | ふとん | 후톤 (이불)[베 포/둥글 단]
洗濯機 | せんたくき | 센타쿠키 (세탁기)[씻을 세/빨 탁/틀 기]
机 | つくえ | 츠쿠에 (책상)[책상 궤]
椅子 | いす | 이스 (의자)[의자 의/아들 자]
片付ける | かたづける | 카타즈케루 (정리하다)[조각 편/붙을 부]
階段 | かいだん | 카이단 (계단)[섬돌 계/층계 단]
ごみ箱 | ごみばこ | 고미바코 (쓰레기통)[상자 상]
捨てる | すてる | 스테루 (버리다)[버릴 사]
必要 | ひつよう | 히츠요우 (필요)[반드시 필/구할 요]
団子 | だんご | 당고 (경단)[둥글 단/아들 자]
留学 | りゅうがく | 류우가쿠 (유학)[머무를 류/배울 학]
卵 | たまご | 타마고 (달걀)[알 란]
お洒落 | おしゃれ | 오샤레 (세련됨/멋있음)[깨끗할 쇄/떨어질 락]
着る | きる | 키루 (입다)[입을 착]
細かい | こまかい | 코마카이 (세세하다)[가늘 세]
授業 | じゅぎょう | 쥬교우 (수업)[줄 수/업 업]
講義 | こうぎ | 코우기 (강의)[익힐 강/뜻 의]
質問 | しつもん | 시츠몬 (질문)[물을 질/물을 문]
説明 | せつめい | 세츠메이 (설명)[말씀 설/밝을 명]
渡る | わたる | 와타루 (건너다)[건널 도]
従兄弟 | いとこ | 이토코 (사촌)[좇을 종/형 형/아우 제]
酸っぱい | すっぱい | 슷파이 (시다)[실 산]
塩っぱい | しょっぱい | 숏파이 (짜다)[소금 염]
途中 | とちゅう | 토츄우 (도중)[길 도/가운데 중]
お皿 | おさら | 오사라 (접시)[접시 명]
切る | きる | 키루 (자르다)[끊을 절]
試験 | しけん | 시켄 (시험)[시험할 시/시험 험]
問題 | もんだい | 몬다이 (문제)[물을 문/제목 제]
答える | こたえる | 코타에루 (대답하다)[대답할 답]
適当 | てきとう | 테키토우 (적당함)[맞을 적/마땅할 당]
点 | てん | 텐 (점/점수)[점 점]
間違える | まちがえる | 마치가에루 (틀리다/착각하다)[사이 간/다를 위]
違う | ちがう | 치가우 (다르다)[다를 위]
宿題 | しゅくだい | 슈쿠다이 (숙제)[묵을 숙/제목 제]
温泉 | おんせん | 온센 (온천)[따뜻할 온/샘 천]
受付 | うけつけ | 우케츠케 (접수/접수처)[받을 수/붙을 부]
使う | つかう | 츠카우 (사용하다)[부릴 사]
支払い | しはらい | 시하라이 (지불/결제)[지탱할 지/떨칠 불]
歌う | うたう | 우타우 (노래하다)[노래 가]
笑う | わらう | 와라우 (웃다)[웃을 소]
決まる | きまる | 키마루 (정해지다/결정되다)[결단할 결]
集める | あつめる | 아츠메루 (모으다)[모을 집]
鉛筆 | えんぴつ | 엔피츠 (연필)[납 연/붓 필]
借りる | かりる | 카리루 (빌리다)[빌릴 차]
教科書 | きょうかしょ | 쿄우카쇼 (교과서)[가르칠 교/과목 과/글 서]
教える | おしえる | 오시에루 (가르치다/알려주다)[가르칠 교]
構わない | かまわない | 카마와나이 (상관없다/괜찮다)[얽을 구]
意味 | いみ | 이미 (의미)[뜻 의/맛 미]
言葉 | ことば | 코토바 (말/단어/언어)[말씀 언/잎 엽]
次 | つぎ | 츠기 (다음)[버금 차]
方法 | ほうほう | 호우호우 (방법)[모 방/법 법]
文章 | ぶんしょう | 분쇼우 (문장/글)[글월 문/글 장]
文法 | ぶんぽう | 분포우 (문법)[글월 문/법 법]
英語 | えいご | 에이고 (영어)[꽃부리 영/말씀 어]
発音 | はつおん | 하츠온 (발음)[필 발/소리 음]
買う | かう | 카우 (사다)[살 매]
荷物 | にもつ | 니모츠 (짐/화물)[멜 하/물건 물]
緑 | みどり | 미도리 (초록색)[푸를 록]
細い | ほそい | 호소이 (가늘다/폭이 좁다)[가늘 세]
炊飯器 | すいはんき | 스이한키 (전기밥솥)[불땔 취/밥 반/그릇 기]
今度 | こんど | 콘도 (이번/다음번)[이제 금/법도 도]
締め切り | しめきり | 시메키리 (마감/마감 기한)[맺을 체/끊을 절]
果物 | くだもの | 쿠다모노 (과일)[열매 과/물건 물]
専攻 | せんこう | 센코우 (전공)[오로지 전/칠 공]
折角 | せっかく | 셋카쿠 (모처럼/애써)[꺾을 절/뿔 각]
野菜 | やさい | 야사이 (채소)[들 야/나물 채]
教室 | きょうしつ | 쿄우시츠 (교실)[가르칠 교/집 실]
廊下 | ろうか | 로우카 (복도)[사랑채 랑/아래 하]
講堂 | こうどう | 코우도우 (강당)[익힐 강/집 당]
数学 | すうがく | 스우가쿠 (수학)[셈 수/배울 학]
科学 | かがく | 카가쿠 (과학)[과목 과/배울 학]
社会 | しゃかい | 샤카이 (사회)[모일 사/모일 회]
地理 | ちり | 치리 (지리)[땅 지/다스릴 리]
歴史 | れきし | 레키시 (역사)[지낼 력/역사 사]
医学 | いがく | 이가쿠 (의학)[의원 의/배울 학]
法律 | ほうりつ | 호우리츠 (법률)[법 법/법 률]
文化祭 | ぶんかさい | 분카사이 (문화제/학교 축제)[글월 문/될 화/제사 제]
考え方 | かんがえかた | 칸가에카타 (사고방식/생각하는 방식)[생각할 고/모 방]
教育 | きょういく | 쿄우이쿠 (교육)[가르칠 교/기를 육]
研究室 | けんきゅうしつ | 켄큐우시츠 (연구실)[갈 연/궁구할 구/집 실]
専門 | せんもん | 센몬 (전문/전공 분야)[오로지 전/문 문]
忘れる | わすれる | 와스레루 (잊다)[잊을 망]
涙 | なみだ | 나미다 (눈물)[눈물 루]
同じ | おなじ | 오나지 (같다/동일하다)[한가지 동]
泣く | なく | 나쿠 (울다)[울 읍]
試す | ためす | 타메스 (시험해 보다/시도하다)[시험할 시]
胡椒 | こしょう | 코쇼우 (후추)[오랑캐 호/산초나무 초]
引き出し | ひきだし | 히키다시 (서랍/인출)[끌 인/날 출]
茶色 | ちゃいろ | 챠이로 (갈색)[차 차/빛 색]
隅 | すみ | 스미 (구석)[모퉁이 우]
短い | みじかい | 미지카이 (짧다)[짧을 단]
拾う | ひろう | 히로우 (줍다)[주울 습]
人形 | にんぎょう | 닌교우 (인형)[사람 인/모양 형]
怖い | こわい | 코와이 (무섭다)[두려울 포]
自由 | じゆう | 지유우 (자유)[스스로 자/말미암을 유]
仕事 | しごと | 시고토 (일/직업)[섬길 사/일 사]
会社員 | かいしゃいん | 카이샤인 (회사원)[모일 회/모일 사/인원 원]
勤める | つとめる | 츠토메루 (근무하다/직장에 다니다)[부지런할 근]
通勤 | つうきん | 츠우킨 (통근/출퇴근)[통할 통/부지런할 근]
課長 | かちょう | 카쵸우 (과장)[과정 과/길 장]
部長 | ぶちょう | 부쵸우 (부장)[떼 부/길 장]
社長 | しゃちょう | 샤쵸우 (사장)[모일 사/길 장]
会議 | かいぎ | 카이기 (회의)[모일 회/의논할 의]
意見 | いけん | 이켄 (의견)[뜻 의/볼 견]
進む | すすむ | 스스무 (나아가다/진행하다)[나아갈 진]
将来 | しょうらい | 쇼우라이 (장래/미래)[장수 장/올 래]
有名 | ゆうめい | 유우메이 (유명함)[있을 유/이름 명]
書類 | しょるい | 쇼루이 (서류)[글 서/무리 류]
予定 | よてい | 요테이 (예정)[미리 예/정할 정]
怒る | おこる | 오코루 (화내다)[성낼 노]
値段 | ねだん | 네단 (가격/값)[값 치/층계 단]
屋台 | やたい | 야타이 (포장마차/노점)[집 옥/대 대]
池 | いけ | 이케 (연못)[못 지]
駅員 | えきいん | 에키인 (역무원)[역 역/인원 원]
寝坊 | ねぼう | 네보우 (늦잠)[잘 침/동네 방]
壊れる | こわれる | 코와레루 (망가지다/부서지다)[무너질 괴]
船 | ふね | 후네 (배/선박)[배 선]
倒れる | たおれる | 타오레루 (쓰러지다/넘어지다)[넘어질 도]
向日葵 | ひまわり | 히마와리 (해바라기)[향할 향/날 일/해바라기 규]
現在 | げんざい | 겐자이 (현재)[나타날 현/있을 재]
情報 | じょうほう | 죠우호우 (정보)[뜻 정/알릴 보]
